config,seed,pattern,level,repeat,f1,auc
full_model,2,rgb,0.5,2,0.5714285714285714,0.7222222222222222
full_model,2,rgb,0.5,3,0.6666666666666666,0.8333333333333334
full_model,2,rgb,0.5,4,0.6153846153846154,0.8055555555555556
full_model,2,ir,0.0,0,0.6666666666666666,0.8611111111111112
full_model,2,ir,0.0,1,0.6666666666666666,0.8611111111111112
full_model,2,ir,0.0,2,0.6666666666666666,0.8611111111111112
full_model,2,ir,0.0,3,0.6666666666666666,0.8611111111111112
full_model,2,ir,0.0,4,0.6666666666666666,0.8611111111111112
full_model,2,ir,0.1,0,0.6666666666666666,0.8611111111111112
full_model,2,ir,0.1,1,0.7142857142857143,0.888888888888889
full_model,2,ir,0.1,2,0.6666666666666666,0.8611111111111112
full_model,2,ir,0.1,3,0.7142857142857143,0.888888888888889
full_model,2,ir,0.1,4,0.6666666666666666,0.8611111111111112
full_model,2,ir,0.2,0,0.7142857142857143,0.8333333333333334
full_model,2,ir,0.2,1,0.7142857142857143,0.8611111111111112
full_model,2,ir,0.2,2,0.6666666666666666,0.8611111111111112
full_model,2,ir,0.2,3,0.6666666666666666,0.8611111111111112
full_model,2,ir,0.2,4,0.7142857142857143,0.8611111111111112
full_model,2,ir,0.3,0,0.5714285714285714,0.7222222222222222
full_model,2,ir,0.3,1,0.6666666666666666,0.8333333333333334
full_model,2,ir,0.3,2,0.6153846153846154,0.8055555555555556
full_model,2,ir,0.3,3,0.7692307692307693,0.9166666666666667
full_model,2,ir,0.3,4,0.7142857142857143,0.8055555555555556
full_model,2,ir,0.4,0,0.7142857142857143,0.888888888888889
full_model,2,ir,0.4,1,0.7272727272727273,0.8611111111111112
full_model,2,ir,0.4,2,0.7692307692307693,0.9166666666666667
full_model,2,ir,0.4,3,0.6153846153846154,0.8055555555555556
full_model,2,ir,0.4,4,0.8333333333333334,0.9444444444444445
full_model,2,ir,0.5,0,0.6666666666666666,0.75
full_model,2,ir,0.5,1,0.7692307692307693,0.7777777777777778
full_model,2,ir,0.5,2,0.7272727272727273,0.8055555555555556
full_model,2,ir,0.5,3,0.6153846153846154,0.7777777777777778
full_model,2,ir,0.5,4,0.6666666666666666,0.8055555555555555
full_model,2,gas,0.0,0,0.6666666666666666,0.8611111111111112
full_model,2,gas,0.0,1,0.6666666666666666,0.8611111111111112
full_model,2,gas,0.0,2,0.6666666666666666,0.8611111111111112
full_model,2,gas,0.0,3,0.6666666666666666,0.8611111111111112
full_model,2,gas,0.0,4,0.6666666666666666,0.8611111111111112
full_model,2,gas,0.1,0,0.7142857142857143,0.8333333333333334
full_model,2,gas,0.1,1,0.6666666666666666,0.8611111111111112
full_model,2,gas,0.1,2,0.7692307692307693,0.8333333333333334
full_model,2,gas,0.1,3,0.6666666666666666,0.8333333333333334
full_model,2,gas,0.1,4,0.6666666666666666,0.8333333333333334
full_model,2,gas,0.2,0,0.6666666666666666,0.8611111111111112
full_model,2,gas,0.2,1,0.6666666666666666,0.8611111111111112
full_model,2,gas,0.2,2,0.7142857142857143,0.888888888888889
full_model,2,gas,0.2,3,0.6666666666666666,0.8611111111111112
full_model,2,gas,0.2,4,0.6666666666666666,0.8611111111111112
full_model,2,gas,0.3,0,0.7142857142857143,0.8611111111111112
full_model,2,gas,0.3,1,0.6666666666666666,0.7777777777777778
full_model,2,gas,0.3,2,0.7692307692307693,0.8333333333333334
full_model,2,gas,0.3,3,0.7142857142857143,0.8333333333333334
full_model,2,gas,0.3,4,0.7692307692307693,0.8611111111111112
full_model,2,gas,0.4,0,0.7142857142857143,0.8333333333333334
full_model,2,gas,0.4,1,0.6666666666666666,0.888888888888889
full_model,2,gas,0.4,2,0.6666666666666666,0.8611111111111112
full_model,2,gas,0.4,3,0.6666666666666666,0.8333333333333334
full_model,2,gas,0.4,4,0.6666666666666666,0.8055555555555555
full_model,2,gas,0.5,0,0.6666666666666666,0.8611111111111112
full_model,2,gas,0.5,1,0.6666666666666666,0.888888888888889
full_model,2,gas,0.5,2,0.6666666666666666,0.8333333333333334
full_model,2,gas,0.5,3,0.7692307692307693,0.8611111111111112
full_model,2,gas,0.5,4,0.7142857142857143,0.8333333333333334
full_model,2,joint,0.0,0,0.6666666666666666,0.8611111111111112
full_model,2,joint,0.0,1,0.6666666666666666,0.8611111111111112
full_model,2,joint,0.0,2,0.6666666666666666,0.8611111111111112
full_model,2,joint,0.0,3,0.6666666666666666,0.8611111111111112
full_model,2,joint,0.0,4,0.6666666666666666,0.8611111111111112
full_model,2,joint,0.1,0,0.6666666666666666,0.8611111111111112
full_model,2,joint,0.1,1,0.6666666666666666,0.7500000000000001
full_model,2,joint,0.1,2,0.7692307692307693,0.8055555555555557
full_model,2,joint,0.1,3,0.6666666666666666,0.8611111111111112
full_model,2,joint,0.1,4,0.7142857142857143,0.888888888888889
full_model,2,joint,0.2,0,0.625,0.6666666666666667
full_model,2,joint,0.2,1,0.7142857142857143,0.8611111111111112
full_model,2,joint,0.2,2,0.5714285714285714,0.6666666666666666
full_model,2,joint,0.2,3,0.7142857142857143,0.8611111111111112
full_model,2,joint,0.2,4,0.8333333333333334,0.888888888888889
full_model,2,joint,0.3,0,0.6153846153846154,0.6944444444444444
full_model,2,joint,0.3,1,0.6153846153846154,0.6111111111111112
full_model,2,joint,0.3,2,0.7142857142857143,0.8611111111111112
full_model,2,joint,0.3,3,0.6153846153846154,0.7777777777777778
full_model,2,joint,0.3,4,0.5333333333333333,0.5277777777777777
full_model,2,joint,0.4,0,0.7692307692307693,0.9166666666666667
full_model,2,joint,0.4,1,0.7692307692307693,0.8611111111111112
full_model,2,joint,0.4,2,0.42857142857142855,0.33333333333333337
full_model,2,joint,0.4,3,0.6666666666666666,0.8611111111111112
full_model,2,joint,0.4,4,0.36363636363636365,0.6111111111111112
full_model,2,joint,0.5,0,0.6,0.8333333333333334
full_model,2,joint,0.5,1,0.5333333333333333,0.5555555555555556
full_model,2,joint,0.5,2,0.6153846153846154,0.6944444444444444
full_model,2,joint,0.5,3,0.7142857142857143,0.6944444444444445
full_model,2,joint,0.5,4,0.7142857142857143,0.6666666666666667
full_model,3,rgb,0.0,0,0.6,0.8333333333333334
full_model,3,rgb,0.0,1,0.6,0.8333333333333334
full_model,3,rgb,0.0,2,0.6,0.8333333333333334
full_model,3,rgb,0.0,3,0.6,0.8333333333333334
full_model,3,rgb,0.0,4,0.6,0.8333333333333334
full_model,3,rgb,0.1,0,0.6,0.8333333333333334
full_model,3,rgb,0.1,1,0.4444444444444444,0.8333333333333334
full_model,3,rgb,0.1,2,0.6,0.7222222222222222
full_model,3,rgb,0.1,3,0.6,0.8333333333333334
full_model,3,rgb,0.1,4,0.4444444444444444,0.75
full_model,3,rgb,0.2,0,0.4444444444444444,0.7777777777777779
full_model,3,rgb,0.2,1,0.6,0.8333333333333334
full_model,3,rgb,0.2,2,0.4444444444444444,0.75
full_model,3,rgb,0.2,3,0.4444444444444444,0.75
full_model,3,rgb,0.2,4,0.6,0.75
full_model,3,rgb,0.3,0,0.4444444444444444,0.6944444444444444
full_model,3,rgb,0.3,1,0.25,0.6666666666666667
full_model,3,rgb,0.3,2,0.6,0.8333333333333334
